regione,nome_centro,mese,donazioni
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-10,33
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-10,32
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-10,32
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-10,32
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-10,33
Abruzzo,OSPEDALE MAZZINI,2020-11,33
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-11,32
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-11,33
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-11,33
Abruzzo,OSPEDALE SAN SALVATORE,2020-11,32
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-11,34
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-11,34
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-11,33
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-11,33
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-11,33
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-11,33
Abruzzo,OSPEDALE MAZZINI,2020-12,33
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-12,31
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-12,32
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-12,31
Abruzzo,OSPEDALE SAN SALVATORE,2020-12,32
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-12,32
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-12,32
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-12,32
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-12,32
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-12,32
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-12,33
Abruzzo,OSPEDALE MAZZINI,2021-01,39
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-01,39
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-01,39
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-01,38
Abruzzo,OSPEDALE SAN SALVATORE,2021-01,40
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-01,39
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-01,40
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-01,38
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-01,39
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-01,39
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-01,40
Abruzzo,OSPEDALE MAZZINI,2021-02,38
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-02,38
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-02,37
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-02,37
Abruzzo,OSPEDALE SAN SALVATORE,2021-02,38
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-02,37
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-02,36
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-02,38
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-02,38
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-02,37
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-02,38
Abruzzo,OSPEDALE MAZZINI,2021-03,40
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-03,41
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-03,41
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-03,41
Abruzzo,OSPEDALE SAN SALVATORE,2021-03,42
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-03,42
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-03,40
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-03,42
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-03,40
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-03,40
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-03,41
Abruzzo,OSPEDALE MAZZINI,2021-04,38
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-04,39
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-04,39
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-04,38
Abruzzo,OSPEDALE SAN SALVATORE,2021-04,39
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-04,38
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-04,38
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-04,38
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-04,39
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-04,37
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-04,37
Abruzzo,OSPEDALE MAZZINI,2021-05,39
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-05,41
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-05,41
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-05,40
Abruzzo,OSPEDALE SAN SALVATORE,2021-05,40
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-05,41
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-05,40
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-05,39
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-05,40
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-05,40
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-05,39
Abruzzo,OSPEDALE MAZZINI,2021-06,39
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-06,40
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-06,39
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-06,40
Abruzzo,OSPEDALE SAN SALVATORE,2021-06,39
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-06,39
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-06,40
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-06,39
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-06,39
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-06,40
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-06,40
Abruzzo,OSPEDALE MAZZINI,2021-07,33
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-07,33
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-07,34
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-07,34
Abruzzo,OSPEDALE SAN SALVATORE,2021-07,33
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-07,32
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-07,32
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-07,33
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-07,32
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-07,34
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-07,32
Abruzzo,OSPEDALE MAZZINI,2021-08,34
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-08,34
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-08,34
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-08,33
Abruzzo,OSPEDALE SAN SALVATORE,2021-08,34
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-08,34
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-08,34
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-08,33
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-08,33
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-08,34
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-08,33
Abruzzo,OSPEDALE MAZZINI,2021-09,37
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-09,38
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-09,38
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-09,39
Abruzzo,OSPEDALE SAN SALVATORE,2021-09,37
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-09,39
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-09,36
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-09,38
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-09,38
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-09,37
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-09,37
Abruzzo,OSPEDALE MAZZINI,2021-10,40
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-10,41
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-10,40
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-10,41
Abruzzo,OSPEDALE SAN SALVATORE,2021-10,40
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-10,40
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-10,40
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-10,39
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-10,39
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-10,40
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-10,40
Abruzzo,OSPEDALE MAZZINI,2021-11,39
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-11,40
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-11,40
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-11,41
Abruzzo,OSPEDALE SAN SALVATORE,2021-11,40
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-11,40
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-11,40
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-11,40
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-11,40
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-11,41
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-11,40
Abruzzo,OSPEDALE MAZZINI,2021-12,34
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2021-12,34
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2021-12,35
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2021-12,35
Abruzzo,OSPEDALE SAN SALVATORE,2021-12,33
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2021-12,33
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2021-12,34
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2021-12,33
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2021-12,35
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2021-12,34
Abruzzo,P.O. S. MASSIMO DI PENNE,2021-12,33
Abruzzo,OSPEDALE MAZZINI,2022-01,46
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-01,44
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-01,44
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-01,44
Abruzzo,OSPEDALE SAN SALVATORE,2022-01,44
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-01,43
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-01,44
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-01,44
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-01,44
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-01,45
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-01,45
Abruzzo,OSPEDALE MAZZINI,2022-02,41
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-02,41
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-02,42
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-02,43
Abruzzo,OSPEDALE SAN SALVATORE,2022-02,43
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-02,41
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-02,41
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-02,41
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-02,41
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-02,42
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-02,42
Abruzzo,OSPEDALE MAZZINI,2022-03,42
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-03,43
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-03,43
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-03,42
Abruzzo,OSPEDALE SAN SALVATORE,2022-03,44
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-03,42
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-03,44
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-03,42
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-03,44
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-03,44
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-03,44
Abruzzo,OSPEDALE MAZZINI,2022-04,43
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-04,43
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-04,42
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-04,42
Abruzzo,OSPEDALE SAN SALVATORE,2022-04,41
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-04,42
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-04,42
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-04,43
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-04,42
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-04,42
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-04,42
Abruzzo,OSPEDALE MAZZINI,2022-05,43
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-05,43
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-05,44
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-05,44
Abruzzo,OSPEDALE SAN SALVATORE,2022-05,43
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-05,44
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-05,44
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-05,43
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-05,44
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-05,44
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-05,43
Abruzzo,OSPEDALE MAZZINI,2022-06,44
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-06,43
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-06,42
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-06,42
Abruzzo,OSPEDALE SAN SALVATORE,2022-06,43
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-06,43
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-06,43
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-06,43
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-06,42
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-06,43
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-06,42
Abruzzo,OSPEDALE MAZZINI,2022-07,40
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-07,38
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-07,39
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-07,40
Abruzzo,OSPEDALE SAN SALVATORE,2022-07,38
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-07,39
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-07,38
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-07,39
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-07,38
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-07,40
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-07,38
Abruzzo,OSPEDALE MAZZINI,2022-08,36
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-08,36
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-08,35
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-08,36
Abruzzo,OSPEDALE SAN SALVATORE,2022-08,36
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-08,36
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-08,35
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-08,35
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-08,34
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-08,35
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-08,35
Abruzzo,OSPEDALE MAZZINI,2022-09,45
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-09,45
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-09,44
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-09,44
Abruzzo,OSPEDALE SAN SALVATORE,2022-09,45
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-09,45
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-09,44
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-09,45
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-09,45
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-09,43
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-09,43
Abruzzo,OSPEDALE MAZZINI,2022-10,45
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-10,46
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-10,46
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-10,47
Abruzzo,OSPEDALE SAN SALVATORE,2022-10,46
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2022-10,45
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2022-10,47
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2022-10,46
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2022-10,45
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2022-10,45
Abruzzo,P.O. S. MASSIMO DI PENNE,2022-10,45
Abruzzo,OSPEDALE MAZZINI,2022-11,42
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2022-11,41
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2022-11,43
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2022-11,42
